System ID,UPC,EAN,Custom SKU,Manufact. SKU,name,Vendor ID,Qty.,price,Tax,Brand,Publish to eCom,Season,Department,MSRP,Tax Class,Default Cost,Vendor,Category,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Subcategory 5,Subcategory 6,Subcategory 7,Subcategory 8,Subcategory 9
2.1E+11,,,,063455908321,Rotex - Paper Clips - 90832,90832,15,$15.00 ,Yes,,No,,,15,Item,10,Test Vendor,,,,,,,,,,
2.1E+11,6.62671E+11,,6.62671E+11,414157,PVC 90 HUBXSPG  6,,2,$20.09 ,Yes,Mixed Brands,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,039923204028,,039923204028,2151,"ABS SANITARY TEE HUBxHUBxHUB 1-11/2""",,43,$1.05 ,Yes,Canplas,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,4.02542E+12,,4.02542E+12,111.798.001,Geberit Duofix system with Sigma concealed tank 2 X 4,,2,$709.50 ,Yes,Geberit,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,064492093407,,064492093407,4712CP,SHOWER FAUCET - 4712CP,,1,$127.23 ,Yes,Belanger,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,064492140095,,064492140095,FCSPS3012,soft square shower head 1x-fcsps3012,,1,$40.53 ,Yes,Belanger,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,064492011210,,064492011210,3065,"8"" KITCHEN SINK FAUCET CP/C2",,1,$51.38 ,Yes,Belanger,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,7.48389E+11,,7.48389E+11,28034,"ABS DWV DISHWASHER Y HUB 1-1/2x1-1/2x3/4""",,13,$3.45 ,Yes,Mixed Brands,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,064492085648,,064492085648,4192CP,SHOWER FAUCET CP,,1,$116.45 ,Yes,Belanger,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,1.10101E+11,,1.10101E+11,xxxxxxxx,ABS P TRAP HUBXHUB 4,,4,$48.75 ,Yes,Canplas,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,082472121292,,082472121292,12129635R,LENOX GENERAL PURPOSE BI-METAL RECIPROCATING SAW BLADES -12129635R,,3,$15.39 ,Yes,LENOX,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,7.48389E+11,,7.48389E+11,2753,ABS SANITARY TEE HUBxHUBxHUB 2,,32,$2.51 ,Yes,Mixed Brands,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,,,,2253,"ABS DWV 90 ELBOW HUBxHUB 3""",,1,$3.12 ,Yes,Canplas,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,082472109511,,082472109511,1095106A1816,LENOX BI-METAL UTILITY WOOD DRILL BITS - 1095106A1816,,1,$26.20 ,Yes,LENOX,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,6.22454E+11,,6.22454E+11,040506,PVC 45 ELBOW HUBXHUB 6,,9,$11.57 ,Yes,Mixed Brands,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,,,1.10101E+11,1.10101E+11,ABS 45 WHE HUBXHUBXHUB 4x4x3,,6,$10.94 ,Yes,Mixed Brands,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,4.02542E+12,,4.02542E+12,111.335.00.5,Geberit Duofix system with Sigma concealed tank 2X6,,2,$569.50 ,Yes,Geberit,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,,,,BC5-100R,"1/2 Red VesiFlow PEX-c, 100 Feet",,1,$26.13 ,Yes,VesiPex,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,6.22454E+11,,6.22454E+11,0201,PVC 90 ELBOW 6,,12,$14.22 ,Yes,Mixed Brands,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,082472121230,082472121230,082472121230,12123R1,LENOX R1 PLASTIC TUBING CUTTERS - 12123R1,,1,$59.27 ,Yes,LENOX,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,082472109535,082472109535,082472109535,1095306A2216,LENOX BI-METAL UTILITY WOOD DRILL BITS - 1095306A2216,,1,$33.79 ,Yes,LENOX,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,8.85363E+11,8.85363E+11,8.85363E+11,1787512,LENOX BI-METAL SELF-FEED WOOD DRILL BITS - 1787512,,1,$31.90 ,Yes,LENOX,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,6.62671E+11,,6.62671E+11,2351,ABS 45 DOUBLE WYE ALL HUB 1-1/2&quot,,4,$3.78 ,Yes,Canplas,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,,1.101E+11,1.101E+11,302100W+305102W,Caroma-Sydney Smart II Dual Flush Tank 4.8L X 3L+Sydney Smart II  EL Bowl With Soft Closing Seat-302100W+305102W,,1,$263.34 ,Yes,Caroma,No,,,0,Item,0,ARMCO,,,,,,,,,,
2.1E+11,064492086850,064492086850,064492086850,4790CP,"belanger-TUB & SHR FCT CP SGL,  SGL LEVER DECO HANDLE&PRES/BAL-4790CP",,2,$124.34 ,Yes,Belanger,No,,,0,Item,0,,,,,,,,,,,
2.1E+11,082472121148,082472121148,082472121148,1211416DGDS,LENOX ONE PIECE DIAMOND HOLE SAWS - 1211416DGDS,,1,$41.64 ,Yes,LENOX,No,,,0,Item,0,,,,,,,,,,,
